x  y  f(x,y)
2.200000  -1.900000  4.833541
2.300000  -1.900000  5.325440
2.400000  -1.900000  5.775668
-2.500000  -1.800000  4.375000
-2.400000  -1.800000  4.274332
-2.300000  -1.800000  4.254560
-2.200000  -1.800000  4.296459
-2.100000  -1.800000  4.376186
-2.000000  -1.800000  4.467415
-1.900000  -1.800000  4.543686
-1.800000  -1.800000  4.580764
-1.700000  -1.800000  4.558815
-1.600000  -1.800000  4.464165
-1.500000  -1.800000  4.290530
-1.400000  -1.800000  4.039576
-1.300000  -1.800000  3.720766
-1.200000  -1.800000  3.350520
-1.100000  -1.800000  2.950746
-1.000000  -1.800000  2.546880
-0.900000  -1.800000  2.165620
-0.800000  -1.800000  1.832537
-0.700000  -1.800000  1.569791
-0.600000  -1.800000  1.394152
-0.500000  -1.800000  1.315505
-0.400000  -1.800000  1.335961
-0.300000  -1.800000  1.449673
-0.200000  -1.800000  1.643358
-0.100000  -1.800000  1.897480
0.000000  -1.800000  2.188000
0.100000  -1.800000  2.488520
0.200000  -1.800000  2.772642
0.300000  -1.800000  3.016327
0.400000  -1.800000  3.200039
0.500000  -1.800000  3.310495
0.600000  -1.800000  3.341848
0.700000  -1.800000  3.296209
0.800000  -1.800000  3.183463
0.900000  -1.800000  3.020380
1.000000  -1.800000  2.829120
1.100000  -1.800000  2.635254
1.200000  -1.800000  2.465480
1.300000  -1.800000  2.345234
1.400000  -1.800000  2.296424
1.500000  -1.800000  2.335470
1.600000  -1.800000  2.471835
1.700000  -1.800000  2.707185
1.800000  -1.800000  3.035236
1.900000  -1.800000  3.442314
2.000000  -1.800000  3.908585
2.100000  -1.800000  4.409814
2.200000  -1.800000  4.919541
2.300000  -1.800000  5.411440
2.400000  -1.800000  5.861668
-2.500000  -1.700000  4.445000
-2.400000  -1.700000  4.344332
-2.300000  -1.700000  4.324560
-2.200000  -1.700000  4.366459
-2.100000  -1.700000  4.446186
-2.000000  -1.700000  4.537415
-1.900000  -1.700000  4.613686
-1.800000  -1.700000  4.650764
-1.700000  -1.700000  4.628815
-1.600000  -1.700000  4.534165
-1.500000  -1.700000  4.360530
-1.400000  -1.700000  4.109576
-1.300000  -1.700000  3.790766
-1.200000  -1.700000  3.420520
-1.100000  -1.700000  3.020746
-1.000000  -1.700000  2.616880
-0.900000  -1.700000  2.235620
-0.800000  -1.700000  1.902537
-0.700000  -1.700000  1.639791
-0.600000  -1.700000  1.464152
-0.500000  -1.700000  1.385505
-0.400000  -1.700000  1.405961
-0.300000  -1.700000  1.519673
-0.200000  -1.700000  1.713358
-0.100000  -1.700000  1.967480
0.000000  -1.700000  2.258000
0.100000  -1.700000  2.558520
0.200000  -1.700000  2.842642
0.300000  -1.700000  3.086327
0.400000  -1.700000  3.270039
0.500000  -1.700000  3.380495
0.600000  -1.700000  3.411848
0.700000  -1.700000  3.366209
0.800000  -1.700000  3.253463
0.900000  -1.700000  3.090380
1.000000  -1.700000  2.899120
1.100000  -1.700000  2.705254
1.200000  -1.700000  2.535480
1.300000  -1.700000  2.415234
1.400000  -1.700000  2.366424
1.500000  -1.700000  2.405470
1.600000  -1.700000  2.541835
1.700000  -1.700000  2.777185
1.800000  -1.700000  3.105236
1.900000  -1.700000  3.512314
2.000000  -1.700000  3.978585
2.100000  -1.700000  4.479814
2.200000  -1.700000  4.989541
2.300000  -1.700000  5.481440
2.400000  -1.700000  5.931668
-2.500000  -1.600000  4.499000
-2.400000  -1.600000  4.398332
-2.300000  -1.600000  4.378560
-2.200000  -1.600000  4.420459
-2.100000  -1.600000  4.500186
-2.000000  -1.600000  4.591415
-1.900000  -1.600000  4.667686
-1.800000  -1.600000  4.704764
-1.700000  -1.600000  4.682815
-1.600000  -1.600000  4.588165
-1.500000  -1.600000  4.414530
-1.400000  -1.600000  4.163576
-1.300000  -1.600000  3.844766
-1.200000  -1.600000  3.474520
-1.100000  -1.600000  3.074746
-1.000000  -1.600000  2.670880
-0.900000  -1.600000  2.289620
-0.800000  -1.600000  1.956537
-0.700000  -1.600000  1.693791
-0.600000  -1.600000  1.518152
-0.500000  -1.600000  1.439505
-0.400000  -1.600000  1.459961
-0.300000  -1.600000  1.573673
-0.200000  -1.600000  1.767358
-0.100000  -1.600000  2.021480
0.000000  -1.600000  2.312000
0.100000  -1.600000  2.612520
0.200000  -1.600000  2.896642
0.300000  -1.600000  3.140327
0.400000  -1.600000  3.324039
0.500000  -1.600000  3.434495
0.600000  -1.600000  3.465848
0.700000  -1.600000  3.420209
0.800000  -1.600000  3.307463
0.900000  -1.600000  3.144380
1.000000  -1.600000  2.953120
1.100000  -1.600000  2.759254
1.200000  -1.600000  2.589480
1.300000  -1.600000  2.469234
1.400000  -1.600000  2.420424
1.500000  -1.600000  2.459470
1.600000  -1.600000  2.595835
1.700000  -1.600000  2.831185
1.800000  -1.600000  3.159236
1.900000  -1.600000  3.566314
2.000000  -1.600000  4.032585
2.100000  -1.600000  4.533814
2.200000  -1.600000  5.043541
2.300000  -1.600000  5.535440
2.400000  -1.600000  5.985668
-2.500000  -1.500000  4.537000
-2.400000  -1.500000  4.436332
-2.300000  -1.500000  4.416560
-2.200000  -1.500000  4.458459
-2.100000  -1.500000  4.538186
-2.000000  -1.500000  4.629415
-1.900000  -1.500000  4.705686
-1.800000  -1.500000  4.742764
-1.700000  -1.500000  4.720815
-1.600000  -1.500000  4.626165
-1.500000  -1.500000  4.452530
-1.400000  -1.500000  4.201576
-1.300000  -1.500000  3.882766
-1.200000  -1.500000  3.512520
-1.100000  -1.500000  3.112746
-1.000000  -1.500000  2.708880
-0.900000  -1.500000  2.327620
-0.800000  -1.500000  1.994537
-0.700000  -1.500000  1.731791
-0.600000  -1.500000  1.556152
-0.500000  -1.500000  1.477505
-0.400000  -1.500000  1.497961
-0.300000  -1.500000  1.611673
-0.200000  -1.500000  1.805358
-0.100000  -1.500000  2.059480
0.000000  -1.500000  2.350000
0.100000  -1.500000  2.650520
0.200000  -1.500000  2.934642
0.300000  -1.500000  3.178327
0.400000  -1.500000  3.362039
0.500000  -1.500000  3.472495
0.600000  -1.500000  3.503848
0.700000  -1.500000  3.458209
0.800000  -1.500000  3.345463
0.900000  -1.500000  3.182380
1.000000  -1.500000  2.991120
1.100000  -1.500000  2.797254
1.200000  -1.500000  2.627480
1.300000  -1.500000  2.507234
1.400000  -1.500000  2.458424
1.500000  -1.500000  2.497470
1.600000  -1.500000  2.633835
1.700000  -1.500000  2.869185
1.800000  -1.500000  3.197236
1.900000  -1.500000  3.604314
2.000000  -1.500000  4.070585
2.100000  -1.500000  4.571814
2.200000  -1.500000  5.081541
2.300000  -1.500000  5.573440
2.400000  -1.500000  6.023668
-2.500000  -1.400000  4.559000
-2.400000  -1.400000  4.458332
-2.300000  -1.400000  4.438560
-2.200000  -1.400000  4.480459
-2.100000  -1.400000  4.560186
-2.000000  -1.400000  4.651415
-1.900000  -1.400000  4.727686
-1.800000  -1.400000  4.764764
-1.700000  -1.400000  4.742815
-1.600000  -1.400000  4.648165
-1.500000  -1.400000  4.474530
-1.400000  -1.400000  4.223576
-1.300000  -1.400000  3.904766
-1.200000  -1.400000  3.534520
-1.100000  -1.400000  3.134746
-1.000000  -1.400000  2.730880
-0.900000  -1.400000  2.349620
-0.800000  -1.400000  2.016537
-0.700000  -1.400000  1.753791
-0.600000  -1.400000  1.578152
-0.500000  -1.400000  1.499505
-0.400000  -1.400000  1.519961
-0.300000  -1.400000  1.633673
-0.200000  -1.400000  1.827358
-0.100000  -1.400000  2.081480
0.000000  -1.400000  2.372000
0.100000  -1.400000  2.672520
0.200000  -1.400000  2.956642
0.300000  -1.400000  3.200327
0.400000  -1.400000  3.384039
0.500000  -1.400000  3.494495
0.600000  -1.400000  3.525848
0.700000  -1.400000  3.480209
0.800000  -1.400000  3.367463
0.900000  -1.400000  3.204380
1.000000  -1.400000  3.013120
1.100000  -1.400000  2.819254
1.200000  -1.400000  2.649480
1.300000  -1.400000  2.529234
1.400000  -1.400000  2.480424
1.500000  -1.400000  2.519470
1.600000  -1.400000  2.655835
1.700000  -1.400000  2.891185
1.800000  -1.400000  3.219236
1.900000  -1.400000  3.626314
2.000000  -1.400000  4.092585
2.100000  -1.400000  4.593814
2.200000  -1.400000  5.103541
2.300000  -1.400000  5.595440
2.400000  -1.400000  6.045668
-2.500000  -1.300000  4.565000
-2.400000  -1.300000  4.464332
-2.300000  -1.300000  4.444560
-2.200000  -1.300000  4.486459
-2.100000  -1.300000  4.566186
-2.000000  -1.300000  4.657415
-1.900000  -1.300000  4.733686
-1.800000  -1.300000  4.770764
-1.700000  -1.300000  4.748815
-1.600000  -1.300000  4.654165
-1.500000  -1.300000  4.480530
-1.400000  -1.300000  4.229576
-1.300000  -1.300000  3.910766
-1.200000  -1.300000  3.540520
-1.100000  -1.300000  3.140746
-1.000000  -1.300000  2.736880
-0.900000  -1.300000  2.355620
-0.800000  -1.300000  2.022537
-0.700000  -1.300000  1.759791
-0.600000  -1.300000  1.584152
-0.500000  -1.300000  1.505505
-0.400000  -1.300000  1.525961
-0.300000  -1.300000  1.639673
-0.200000  -1.300000  1.833358
-0.100000  -1.300000  2.087480
0.000000  -1.300000  2.378000
0.100000  -1.300000  2.678520
0.200000  -1.300000  2.962642
0.300000  -1.300000  3.206327
0.400000  -1.300000  3.390039
0.500000  -1.300000  3.500495
0.600000  -1.300000  3.531848
0.700000  -1.300000  3.486209
0.800000  -1.300000  3.373463
0.900000  -1.300000  3.210380
1.000000  -1.300000  3.019120
1.100000  -1.300000  2.825254
1.200000  -1.300000  2.655480
1.300000  -1.300000  2.535234
1.400000  -1.300000  2.486424
1.500000  -1.300000  2.525470
1.600000  -1.300000  2.661835
1.700000  -1.300000  2.897185
1.800000  -1.300000  3.225236
1.900000  -1.300000  3.632314
2.000000  -1.300000  4.098585
2.100000  -1.300000  4.599814
2.200000  -1.300000  5.109541
2.300000  -1.300000  5.601440
2.400000  -1.300000  6.051668
-2.500000  -1.200000  4.555000
-2.400000  -1.200000  4.454332
-2.300000  -1.200000  4.434560
-2.200000  -1.200000  4.476459
-2.100000  -1.200000  4.556186
-2.000000  -1.200000  4.647415
-1.900000  -1.200000  4.723686
-1.800000  -1.200000  4.760764
-1.700000  -1.200000  4.738815
-1.600000  -1.200000  4.644165
-1.500000  -1.200000  4.470530
-1.400000  -1.200000  4.219576
-1.300000  -1.200000  3.900766
-1.200000  -1.200000  3.530520
-1.100000  -1.200000  3.130746
-1.000000  -1.200000  2.726880
-0.900000  -1.200000  2.345620
-0.800000  -1.200000  2.012537
-0.700000  -1.200000  1.749791
-0.600000  -1.200000  1.574152
-0.500000  -1.200000  1.495505
-0.400000  -1.200000  1.515961
-0.300000  -1.200000  1.629673
-0.200000  -1.200000  1.823358
-0.100000  -1.200000  2.077480
0.000000  -1.200000  2.368000
0.100000  -1.200000  2.668520
0.200000  -1.200000  2.952642
0.300000  -1.200000  3.196327
0.400000  -1.200000  3.380039
0.500000  -1.200000  3.490495
0.600000  -1.200000  3.521848
0.700000  -1.200000  3.476209
0.800000  -1.200000  3.363463
0.900000  -1.200000  3.200380
1.000000  -1.200000  3.009120
1.100000  -1.200000  2.815254
1.200000  -1.200000  2.645480
1.300000  -1.200000  2.525234
1.400000  -1.200000  2.476424
1.500000  -1.200000  2.515470
1.600000  -1.200000  2.651835
1.700000  -1.200000  2.887185
1.800000  -1.200000  3.215236
1.900000  -1.200000  3.622314
2.000000  -1.200000  4.088585
2.100000  -1.200000  4.589814
2.200000  -1.200000  5.099541
2.300000  -1.200000  5.591440
2.400000  -1.200000  6.041668
-2.500000  -1.100000  4.529000
-2.400000  -1.100000  4.428332
-2.300000  -1.100000  4.408560
-2.200000  -1.100000  4.450459
-2.100000  -1.100000  4.530186
-2.000000  -1.100000  4.621415
-1.900000  -1.100000  4.697686
-1.800000  -1.100000  4.734764
-1.700000  -1.100000  4.712815
-1.600000  -1.100000  4.618165
-1.500000  -1.100000  4.444530
-1.400000  -1.100000  4.193576
-1.300000  -1.100000  3.874766
-1.200000  -1.100000  3.504520
-1.100000  -1.100000  3.104746
-1.000000  -1.100000  2.700880
-0.900000  -1.100000  2.319620
-0.800000  -1.100000  1.986537
-0.700000  -1.100000  1.723791
-0.600000  -1.100000  1.548152
-0.500000  -1.100000  1.469505
-0.400000  -1.100000  1.489961
-0.300000  -1.100000  1.603673
-0.200000  -1.100000  1.797358
-0.100000  -1.100000  2.051480
0.000000  -1.100000  2.342000
0.100000  -1.100000  2.642520
0.200000  -1.100000  2.926642
0.300000  -1.100000  3.170327
0.400000  -1.100000  3.354039
0.500000  -1.100000  3.464495
0.600000  -1.100000  3.495848
0.700000  -1.100000  3.450209
0.800000  -1.100000  3.337463
0.900000  -1.100000  3.174380
1.000000  -1.100000  2.983120
1.100000  -1.100000  2.789254
1.200000  -1.100000  2.619480
1.300000  -1.100000  2.499234
1.400000  -1.100000  2.450424
1.500000  -1.100000  2.489470
1.600000  -1.100000  2.625835
1.700000  -1.100000  2.861185
1.800000  -1.100000  3.189236
1.900000  -1.100000  3.596314
2.000000  -1.100000  4.062585
2.100000  -1.100000  4.563814
2.200000  -1.100000  5.073541
2.300000  -1.100000  5.565440
2.400000  -1.100000  6.015668
-2.500000  -1.000000  4.487000
-2.400000  -1.000000  4.386332
-2.300000  -1.000000  4.366560
-2.200000  -1.000000  4.408459
-2.100000  -1.000000  4.488186
-2.000000  -1.000000  4.579415
-1.900000  -1.000000  4.655686
-1.800000  -1.000000  4.692764
-1.700000  -1.000000  4.670815
-1.600000  -1.000000  4.576165
-1.500000  -1.000000  4.402530
-1.400000  -1.000000  4.151576
-1.300000  -1.000000  3.832766
-1.200000  -1.000000  3.462520
-1.100000  -1.000000  3.062746
-1.000000  -1.000000  2.658880
-0.900000  -1.000000  2.277620
-0.800000  -1.000000  1.944537
-0.700000  -1.000000  1.681791
-0.600000  -1.000000  1.506152
-0.500000  -1.000000  1.427505
-0.400000  -1.000000  1.447961
-0.300000  -1.000000  1.561673
-0.200000  -1.000000  1.755358
-0.100000  -1.000000  2.009480
0.000000  -1.000000  2.300000
0.100000  -1.000000  2.600520
0.200000  -1.000000  2.884642
0.300000  -1.000000  3.128327
0.400000  -1.000000  3.312039
0.500000  -1.000000  3.422495
0.600000  -1.000000  3.453848
0.700000  -1.000000  3.408209
0.800000  -1.000000  3.295463
0.900000  -1.000000  3.132380
1.000000  -1.000000  2.941120
1.100000  -1.000000  2.747254
1.200000  -1.000000  2.577480
1.300000  -1.000000  2.457234
1.400000  -1.000000  2.408424
1.500000  -1.000000  2.447470
1.600000  -1.000000  2.583835
1.700000  -1.000000  2.819185
1.800000  -1.000000  3.147236
1.900000  -1.000000  3.554314
2.000000  -1.000000  4.020585
2.100000  -1.000000  4.521814
2.200000  -1.000000  5.031541
2.300000  -1.000000  5.523440
2.400000  -1.000000  5.973668
-2.500000  -0.900000  4.429000
-2.400000  -0.900000  4.328332
-2.300000  -0.900000  4.308560
-2.200000  -0.900000  4.350459
-2.100000  -0.900000  4.430186
-2.000000  -0.900000  4.521415
-1.900000  -0.900000  4.597686
-1.800000  -0.900000  4.634764
-1.700000  -0.900000  4.612815
-1.600000  -0.900000  4.518165
-1.500000  -0.900000  4.344530
-1.400000  -0.900000  4.093576
-1.300000  -0.900000  3.774766
-1.200000  -0.900000  3.404520
-1.100000  -0.900000  3.004746
-1.000000  -0.900000  2.600880
-0.900000  -0.900000  2.219620
-0.800000  -0.900000  1.886537
-0.700000  -0.900000  1.623791
-0.600000  -0.900000  1.448152
-0.500000  -0.900000  1.369505
-0.400000  -0.900000  1.389961
-0.300000  -0.900000  1.503673
-0.200000  -0.900000  1.697358
-0.100000  -0.900000  1.951480
0.000000  -0.900000  2.242000
0.100000  -0.900000  2.542520
0.200000  -0.900000  2.826642
0.300000  -0.900000  3.070327
0.400000  -0.900000  3.254039
0.500000  -0.900000  3.364495
0.600000  -0.900000  3.395848
0.700000  -0.900000  3.350209
0.800000  -0.900000  3.237463
0.900000  -0.900000  3.074380
1.000000  -0.900000  2.883120
1.100000  -0.900000  2.689254
1.200000  -0.900000  2.519480
1.300000  -0.900000  2.399234
1.400000  -0.900000  2.350424
1.500000  -0.900000  2.389470
1.600000  -0.900000  2.525835
1.700000  -0.900000  2.761185
1.800000  -0.900000  3.089236
1.900000  -0.900000  3.496314
2.000000  -0.900000  3.962585
2.100000  -0.900000  4.463814
